174 120 100 68
153 25750 10930.3 1 1
4 21325 6876.06 9 7
24 19725 3444.44 2 2
2 20825 200.878 3 2
8 18250 4891.94 5 4
9 38400 9717.64 3 2
3 22625 4239.45 3 3
4 21325 5957.18 5 4
25 15650 2465.46 4 3
161 37275 -0 2 2
6 24475 108.96 3 2
25 15650 4337.35 4 3
14 15225 781.924 2 1
14 15225 3262 3 3
15 13950 1238.9 2 2
31 13300 3141.32 1 1
17 26275 3847.37 3 2
19 25300 1184.83 2 2
3 22625 9003.83 9 7
34 23550 2937.96 3 2
12 15975 2769.82 2 2
27 32125 996.743 1 1
21 32775 2209.21 1 1
27 32125 1501.96 1 1
157 12050 9500.26 12 9
30 11675 4900.37 6 5
30 11675 3667.68 3 2
38 29850 -0 4 3
29 34850 8745.32 9 7
23 32800 41.6799 3 3
36 9100 2400.97 4 3
36 9100 5770.38 7 5
36 9100 1692.91 1 1
37 13700 3822.18 3 2
131 18975 7015.36 7 6
29 34850 4996.17 4 3
51 7450 2144.65 3 2
47 13125 -0 1 1
40 27925 930.75 3 3
17 26275 9974.1 13 10
49 27475 1730.84 1 1
44 9275 5563.27 7 5
172 31175 6445.8 5 4
41 13725 3105.63 3 2
45 8750 330.347 1 1
51 7450 1375.74 2 2
32 9650 2756.16 4 3
67 10025 134.25 5 4
35 37400 4038.72 3 2
50 25200 3336.14 4 3
131 18975 9029.87 9 7
68 4350 3296.55 5 4
44 9275 4606.17 4 3
54 35025 4599.55 2 2
55 33325 0.384637 3 2
56 29875 4497.14 5 4
49 27475 1145.79 4 3
61 18750 8579.61 4 3
41 13725 3301.93 5 4
47 13125 11102.4 8 6
76 15450 1473.81 2 2
60 16550 246.241 4 3
63 6275 5157.55 6 5
68 4350 2988.25 3 3
61 18750 3516.75 3 3
56 29875 5680.89 4 3
50 25200 5852.5 7 5
69 5050 6679.94 8 6
-1 0 6027.93 7 5
68 4350 1349.17 2 1
60 16550 4008.13 5 4
78 18250 1863.01 1 1
73 29925 2725.39 2 2
50 25200 5798.39 7 6
75 4900 4428.8 5 4
68 4350 1644.55 1 1
83 10725 5817.94 7 6
83 10725 1655.85 2 2
173 16850 2785.28 3 2
75 4900 1617.19 2 2
163 21750 3436.51 2 2
69 5050 2960.84 3 3
79 6100 3272.06 3 2
84 8525 3415.26 4 3
75 4900 4910.93 6 5
84 8525 758.775 1 1
79 6100 554.969 2 2
88 9775 3002.81 2 2
85 9175 5.13968 1 1
88 9775 504.105 1 1
89 10150 305.837 2 1
163 21750 3908.11 5 4
86 7325 2585.29 3 2
94 13500 2234.12 3 2
90 10900 3467.67 4 3
89 10150 2039.02 2 2
85 9175 2461.27 3 3
92 8900 2832.42 3 2
96 11150 2215.83 3 3
97 10625 1115.94 2 1
99 11350 1620.09 2 1
97 10625 1271.54 2 2
92 8900 3277.31 3 2
90 10900 3759.04 5 4
100 12100 3833.59 4 4
103 13750 1056.46 2 1
109 16850 10139.8 11 8
100 12100 2551.34 3 2
137 11050 3480.54 4 3
110 16425 -0 1 1
94 13500 3997.74 5 4
109 16850 6330.75 7 5
105 14650 2488.35 3 2
108 13175 3194.31 4 3
135 11325 3406.28 3 2
110 16425 15.7986 1 1
105 14650 4332.58 5 4
147 17425 7.78269 1 1
108 13175 1276.75 2 1
113 15850 2681.07 3 2
118 14025 2294.25 2 2
122 13775 194.1 1 1
114 12950 1781.28 2 1
118 14025 2159.79 2 2
121 14350 2116.32 2 2
117 17950 6168.46 4 3
122 13775 1876.12 2 1
128 15800 2518.28 3 2
123 15075 915.627 2 1
128 15800 4211.96 4 3
126 14575 2958.59 3 2
157 12050 8177.28 10 8
102 10375 579.11 1 1
102 10375 1159.49 1 1
133 10675 910.977 1 1
134 10975 950.368 1 1
137 11050 840.017 1 1
132 10700 233.257 1 1
80 22975 2706.48 4 3
167 25375 6737.95 7 6
17 26275 3234.62 4 3
140 28775 2262.08 4 3
145 31600 1009.11 2 2
142 32800 8943.79 8 6
145 31600 8509.1 7 5
140 28775 20.2419 5 4
170 17225 543.47 1 1
148 17025 910.364 1 1
149 16775 709.382 1 1
115 16675 1106.89 1 1
2 20825 -0 1 1
150 21100 1689.95 2 1
154 21725 2572.35 2 2
154 21725 0.305149 6 5
150 21100 867.296 1 1
51 7450 1419.75 2 2
155 8675 2037.39 3 3
156 10500 2463.29 3 2
155 8675 1289.53 2 1
158 9500 3752.69 4 3
21 32775 42.2569 3 3
160 34775 1296.46 4 3
160 34775 2256.47 1 1
164 20375 707.704 2 2
71 18325 3278.45 3 3
167 25375 2482.59 4 3
80 22975 119.312 2 2
166 24000 1137.1 2 2
171 25125 5461.91 3 2
138 25400 2211.44 2 2
115 16675 1292.78 1 1
166 24000 -0 2 2
38 29850 63.5358 2 2
93 14950 2782.58 3 3

Temps: 0.28 seconds
Valeur OPT: 94706.9
