31 140 140 0
-1 0 -3 0 6
24 30 337.44 24 11
-1 10 10 34 80
24 8 709.88 11 8
20 11 -0 15 5
20 21 379.44 11 17
20 14 697.88 1 60
20 15 -0 3 25
-1 15 15 29 1
13 24 -0 6 28
0 15 379.44 25 39
16 27 -0 6 3
7 29 389.44 25 35
16 19 -0 2 0
20 32 679.88 28 29
-1 16 16 8 25
0 15 -0 10 34
4 23 362.44 18 24
21 38 698.88 45 2
-1 18 18 33 45
0 5 -0 17 33
0 18 -0 9 6
-1 20 20 16 11
0 17 1011.32 35 18
0 5 1025.32 5 123
0 28 706.88 60 10
20 9 1741.2 80 95
7 26 353.44 39 16
-1 37 37 95 9
-1 16 16 90 90
20 9 1741.2 123 15

Temps: 0.00 seconds
Valeur OPT: 2398.08
