101 112 112 0
-1 0 -0 0 28
0 30 -0 10 6
53 42 1742.42 7 14
77 36 462.239 13 7
53 36 1848.67 19 13
59 36 -0 26 11
94 31 929.594 3 29
0 37 -0 5 10
18 42 4604.35 9 36
1 56 -0 16 3
62 37 -0 16 3
62 52 1689.94 12 5
0 26 3393.78 19 27
0 18 -0 23 0
0 49 284.206 20 9
13 43 1254.66 8 8
99 40 -0 19 6
84 43 -0 2 3
52 29 3111.88 12 23
62 42 1891.86 17 9
69 50 1791.18 9 19
53 39 459.63 11 9
74 48 1007.11 18 3
56 58 3659.14 29 7
68 51 -0 3 15
58 56 -0 6 6
0 16 1312.85 17 14
0 9 2946.97 16 19
0 11 1775.08 16 7
77 50 490.756 9 10
28 39 2006.21 21 16
27 47 4027.38 27 20
52 45 4767.38 23 25
53 50 2130.03 11 27
78 55 5442.96 14 16
27 58 -0 8 20
0 50 -0 5 1
59 28 -0 8 22
92 53 1676.16 16 8
4 51 1516.67 31 12
53 26 1983.4 9 9
74 54 2083.68 5 17
59 38 1536.7 5 12
95 50 3584.54 7 16
91 38 4492.44 18 8
89 37 3631.91 16 27
27 45 -0 1 21
62 49 95.5771 27 2
7 50 5212.96 36 26
19 63 2084.07 30 16
27 26 3042.16 13 30
69 53 -0 10 11
0 18 964.189 9 18
0 11 2060.36 14 26
0 46 2968.1 18 6
68 55 602.565 2 25
53 42 1697.29 6 18
87 41 995.838 7 41
53 25 -0 18 3
99 24 2369.6 28 9
59 39 -0 3 11
91 40 -0 13 9
0 27 2171.03 19 16
28 50 -0 10 1
36 74 -0 9 16
79 77 2205.12 20 20
76 63 1503.8 25 26
28 55 1326.56 25 18
77 38 1024.14 36 5
27 26 2741.17 6 18
1 46 -0 5 5
53 63 2470.73 15 17
53 34 3218.14 25 12
13 41 709.544 9 23
72 41 -0 8 19
40 43 1963.04 18 19
27 28 172.329 13 10
27 30 981.553 14 13
3 48 -0 3 18
3 44 1004.94 23 16
12 37 3836.16 6 13
33 57 664.085 26 13
89 40 -0 16 9
27 42 2359.96 11 25
99 32 5332.1 7 35
93 33 4729.56 41 31
59 42 9257 35 5
94 33 3326.06 26 14
52 42 953.853 9 23
0 16 1964.4 15 9
10 49 -0 3 10
99 30 -0 1 9
59 28 -0 2 7
99 26 2993.74 22 11
13 24 3608.87 27 8
96 29 -0 20 5
99 24 3453.83 11 36
99 31 1244.5 12 17
93 30 -0 10 2
0 20 627.137 9 2
99 34 1458.8 17 15

Temps: 0.01 seconds
Valeur OPT: 23573
