76 180 180 0
-1 0 -0 0 25
6 36 -0 18 37
0 19 12.1022 26 9
51 31 -0 11 37
75 14 32.095 30 14
48 33 9.97466 21 11
75 16 -0 19 10
34 30 -0 15 1
46 23 -0 16 19
12 38 -0 29 15
0 34 12.802 26 33
46 42 31.5242 37 13
26 25 29.3194 16 29
34 35 50.3787 12 21
0 36 49.6703 31 14
27 44 6.88878 8 12
51 28 56.4392 19 22
0 19 16.052 20 15
0 37 22.3449 13 12
46 36 31.916 15 8
29 52 4.69096 22 8
48 43 4.88878 28 20
73 49 71.1555 12 28
51 40 -0 6 24
49 58 6.86135 27 31
58 47 10.7072 14 19
0 11 11 18 10
52 28 22.225 17 30
0 34 9.59598 29 12
75 25 -0 13 18
45 31 16.309 22 22
58 42 41.4088 25 21
26 31 24.0605 28 13
68 31 14.9069 27 19
46 19 -0 19 17
26 27 -0 10 22
48 37 22.7743 12 13
29 46 -0 14 19
67 36 14.2236 24 11
58 34 -0 16 27
17 30 4.73264 33 16
42 54 10.8003 15 29
6 49 -0 11 6
62 48 32.7591 18 30
51 37 8.10221 17 26
75 22 29.0091 21 19
0 16 -0 27 5
48 36 12.6135 19 28
0 21 -0 20 16
16 45 21.1907 5 20
32 45 28.2348 22 15
75 19 -0 12 24
46 22 -0 19 11
26 32 16.391 22 26
4 40 41.2069 16 15
39 59 28.3194 7 22
23 52 82.6493 26 20
27 45 -0 14 7
0 22 18.4306 21 28
67 58 7.00325 24 18
71 56 3.33438 13 18
6 49 -0 15 0
6 30 -0 18 16
16 36 -0 11 26
1 55 79.9422 28 27
67 41 7.59598 9 11
53 47 15.2077 37 16
0 11 -0 30 12
0 15 17.0605 10 17
36 48 25.225 8 21
60 61 34 11 10
0 45 -0 3 3
58 31 9.11237 1 18
33 37 -0 6 27
48 32 -0 10 14
0 8 30.337 20 6

Temps: 0.00 seconds
Valeur OPT: 262.743
