76 140 140 33
51 28 2.65319 0 8
33 11 5.87443 18 12
33 16 13.1326 26 28
33 34 21.2585 11 37
6 26 0.0300998 30 15
2 40 9.00538 21 15
33 10 6.08027 19 6
63 54 -0 15 17
4 46 7.8946 16 16
63 43 14.9049 29 28
6 47 -0 26 13
72 69 16.7563 37 12
17 32 7.8273 16 12
52 43 7.27487 12 18
51 64 -0 31 20
5 50 12.0098 8 20
33 11 6.42079 19 10
51 20 11.0925 20 26
63 38 15.4048 13 27
4 50 14.6243 15 19
70 56 16.6902 22 26
74 45 -0 28 24
73 36 -0 12 0
33 20 7.87654 6 19
16 29 16.8868 27 27
33 37 15.3379 14 19
17 30 11.0923 18 22
4 36 13.0102 17 22
62 32 14.2144 29 21
2 38 8.29214 13 19
2 29 4.99423 22 5
73 72 9.66899 25 17
44 47 11.6115 28 16
-1 0 13.2894 27 13
2 41 -0 19 13
26 51 10.3951 10 28
47 63 13.5222 12 14
74 53 11.8853 14 18
6 52 12.4823 24 16
33 37 2.58027 16 3
17 29 -0 33 37
1 24 -0 15 9
41 32 -0 11 29
1 20 11.2992 18 18
51 33 8.32635 17 15
4 36 10.4065 21 19
4 39 5.47964 27 33
4 51 0.606408 19 10
30 43 7.87107 20 10
33 29 15.1465 5 29
18 49 16.1723 22 25
33 11 15.2783 12 30
33 31 10.0397 19 14
46 57 9.56056 22 8
13 55 10.8203 16 11
25 56 11.1724 7 21
63 32 19.0966 26 31
2 51 7.98761 14 11
33 42 12.4905 21 16
17 66 -0 24 27
70 57 10.1808 13 18
28 52 7.52164 15 1
33 24 9.20953 18 11
33 8 5.87443 11 7
33 51 12.2158 28 6
6 60 23.7154 9 12
65 76 12.5435 37 22
68 31 15.6879 30 21
6 16 4.46175 10 14
73 47 7.02704 8 11
33 50 10.8873 11 24
70 67 14.0494 3 30
39 44 0.059564 1 26
33 15 7.26996 6 15
2 32 8.26085 10 20
68 23 13.1715 20 22

Temps: 0.04 seconds
Valeur OPT: 61.8164
