101 112 112 53
53 8 -0 0 11
0 24 -0 10 27
13 25 28.9327 7 30
77 34 1.48243 13 10
53 41 6.05539 19 6
84 31 33.0937 26 17
53 12 2527.83 3 18
88 46 -0 5 3
53 47 0.00448853 9 2
69 41 -0 16 3
70 44 54.0881 16 25
52 49 47.0175 12 36
26 25 -0 19 19
58 16 14.4912 23 9
100 37 18.0147 20 15
42 38 24.5485 8 18
99 39 -0 19 20
84 42 0.160967 2 6
69 37 48.2279 12 26
70 55 -0 17 16
1 49 -0 9 16
58 19 12.0982 11 18
73 34 22.7072 18 14
0 56 17.4658 29 2
68 46 25.6265 3 29
55 46 47.9192 6 13
53 13 44.6863 17 23
0 14 10742.4 16 13
53 9 23.903 16 12
26 37 -0 9 25
70 35 -0 21 10
52 42 -0 27 6
70 48 -0 23 10
26 40 2479.31 11 41
12 53 47.6863 14 9
80 58 0.406765 8 12
19 70 -0 5 7
6 27 0.0130229 8 11
100 50 1.07127 16 20
55 54 43.9957 31 13
58 11 -0 9 17
21 37 5.45976 5 16
58 26 -0 5 2
42 44 42.4846 7 31
58 39 -0 18 8
99 47 17.0597 16 0
94 52 3.2876 1 8
48 61 -0 27 21
6 52 -0 36 26
7 71 71.2777 30 25
28 23 51.6863 13 27
1 53 -0 10 20
6 25 -0 9 14
-1 0 -10742.4 14 13
40 34 0.016707 18 9
21 38 33.4604 2 16
72 36 11.708 6 15
13 29 -0 7 28
53 6 10.8602 18 8
95 27 -0 28 5
95 35 -0 3 9
94 36 -0 13 8
88 46 32.0205 19 10
70 50 0.0138688 10 7
62 70 -0 9 19
28 57 41.4509 20 9
58 59 38.1343 25 3
95 68 14.9121 25 5
80 29 5.49278 36 16
53 18 15.1237 6 17
28 28 24.2215 5 23
9 50 0.0140106 15 11
58 27 13.5985 25 16
21 26 12.4896 9 19
72 33 53.0584 8 26
72 33 38.516 18 12
28 20 0.00168506 13 7
76 30 0.0667823 14 3
77 47 0.0256464 3 7
77 38 -0 23 23
26 26 7.48956 6 1
0 42 -0 26 1
40 47 42.425 16 18
94 38 9.85923 11 9
53 26 0.00915317 7 5
91 34 3.56471 41 9
58 44 68.0523 35 35
13 29 17.0533 26 9
6 38 -0 9 3
6 28 27.743 15 18
32 53 15.6641 3 14
53 29 -0 1 9
94 27 -0 2 19
96 29 0.0819007 22 11
53 18 0.514465 27 16
6 20 0.490359 20 6
6 23 -0 11 5
95 25 33.0096 12 27
37 28 -0 10 5
96 25 32.4325 9 36
53 26 14.1659 17 22

Temps: 8.33 seconds
Valeur OPT: 2605.77
