262 500 500 27
173 67 2.12788 0 24
33 180 22.5465 6 18
27 34 22.6113 72 69
118 109 25.205 93 45
81 123 6.77803 28 10
12 68 16.9153 5 88
16 132 14.8841 43 50
27 99 9.05219 1 42
112 100 12.3405 36 18
26 54 14.5939 53 14
238 111 24.3535 63 83
64 97 7.30397 25 9
260 51 14.2622 50 63
148 86 25.5643 57 89
23 169 11.1532 1 84
84 111 17.7152 66 28
84 109 12.8547 37 79
122 168 16.574 51 50
137 47 23.7922 47 99
261 90 10.4475 88 19
110 191 15.1614 75 42
138 112 9.65453 48 4
120 162 17.6231 40 77
236 148 8.07456 8 52
194 162 12.9132 69 18
141 145 28.4195 93 83
148 46 6.37705 29 71
-1 0 7.43455 5 29
182 167 13.9362 53 10
169 180 5.30058 8 29
18 59 6.92426 24 25
12 105 24.3956 53 94
176 161 9.85875 13 44
12 93 13.8921 47 25
95 154 26.1277 57 96
140 184 10.4282 9 67
83 60 18.5285 74 0
16 144 20.6429 83 52
122 98 29.0239 96 90
84 106 6.44738 42 13
249 166 24.7927 80 81
210 177 6.59991 22 4
194 118 17.7442 56 53
122 81 15.3315 43 73
135 147 9.63442 12 37
120 198 15.6797 73 12
161 194 18.811 32 100
168 121 13.2137 8 93
23 161 21.2237 79 56
12 58 10.9082 79 21
250 204 2.20439 4 17
67 158 5.60843 14 24
243 119 6.5077 17 26
173 60 0.0034508 19 1
173 44 5.86927 44 6
168 122 11.2856 5 71
122 103 7.76941 37 32
260 73 19.905 100 4
148 68 11.6831 62 0
75 135 21.6461 90 23
181 185 18.082 57 99
90 83 10.8116 44 39
27 73 8.65368 37 79
216 190 18.5255 80 28
27 67 17.3132 60 53
83 82 28.6939 95 19
103 122 30.4285 56 98
122 147 17.5796 56 33
138 140 1.56885 9 12
260 89 8.94445 39 5
12 127 5.91632 15 8
5 148 3.41591 4 17
133 101 25.9534 58 72
96 56 11.7481 73 35
27 123 4.60613 5 45
135 124 8.77719 12 62
138 146 2.7047 3 0
166 194 8.61922 8 55
258 157 17.1499 31 74
173 70 24.9144 48 98
27 97 3.01426 3 5
260 117 11.4416 52 41
224 82 25.5246 99 73
260 42 6.12003 29 43
135 83 7.12463 12 17
