245 14400 8000 32
175 222650 28659.6 141 109
220 9550 -0 63 48
5 17175 -0 27 21
4 11475 -0 45 35
89 9050 -0 147 113
3 13375 -0 266 205
106 13300 -0 40 31
68 24525 -0 106 81
177 16800 5506.7 458 352
177 13325 -0 26 20
119 15325 2553.75 15 12
211 170425 20919.6 91 70
144 11375 -0 302 232
106 13300 -0 33 26
202 16375 1345.36 331 254
3 14175 -0 121 93
32 3150 -0 110 85
90 17925 -0 50 38
220 9550 -0 20 16
32 3150 -0 8 6
11 171075 -0 39 30
208 16900 -0 35 27
208 16900 -0 35 27
35 19300 -0 85 66
136 19750 -0 112 86
21 19475 -0 271 208
159 25725 -0 76 59
150 24625 -0 63 49
172 28475 -0 61 47
150 24625 -0 38 30
19 4325 541.422 99 76
19 4325 2675.54 48 37
-1 0 -0 98 76
177 13325 -0 15 12
177 10375 -0 82 64
2 18275 -0 36 27
192 31000 238.922 182 140
117 23575 -0 57 44
125 23500 -0 54 42
46 24625 -0 50 38
216 25425 -0 65 50
117 23575 -0 87 67
56 16875 -0 54 42
244 8700 -0 67 51
105 35050 -0 30 23
216 24225 -0 20 16
143 23275 -0 11 9
157 28250 -0 12 9
49 15875 16660 182 140
209 11650 -0 46 35
51 173625 4455 124 96
11 171775 -0 117 90
81 13075 -0 20 16
105 35050 -0 30 23
32 3150 -0 53 41
184 17225 -0 35 27
207 16125 -0 30 23
187 23725 -0 36 28
59 12425 -0 93 72
89 9050 -0 117 90
222 30975 -0 11 9
23 21175 -0 0 0
244 7975 -0 30 23
211 165525 10383.7 167 129
213 59100 22024.6 113 87
80 224925 -0 48 37
166 27400 1237.5 325 250
28 30675 1676.25 97 75
228 22475 -0 36 28
234 18300 -0 229 176
69 20250 2237.59 436 335
132 138925 19783.3 50 38
68 24975 -0 36 28
211 165525 -0 273 210
132 134900 15260.8 20 16
213 59100 1833.75 122 94
197 16225 -0 37 29
151 19575 -0 0 0
187 23725 -0 30 23
163 7900 -0 0 0
174 218975 -0 63 49
1 12600 -0 20 16
200 17600 -0 33 26
163 7900 -0 153 118
105 35050 -0 28 21
131 19475 -0 52 40
221 28625 1068.75 72 55
138 16600 65.0917 88 68
199 18975 -0 13 10
114 8300 -0 22 17
241 13100 -0 139 107
111 36200 2250 108 83
212 12350 -0 23 17
45 25050 -0 32 24
123 20725 6198.75 77 59
3 14175 -0 233 179
213 28800 3425.45 14 11
47 30600 -0 75 58
199 18975 -0 121 93
46 24625 -0 170 130
50 176775 19051.7 152 117
1 12600 -0 81 63
167 28975 -0 53 41
58 14275 -0 49 38
46 24625 -0 95 73
60 33375 -0 23 18
177 11875 -0 20 16
47 30600 -0 12 9
197 13200 877.856 26 20
177 15450 -0 33 26
72 26525 -0 30 23
7 28475 -0 45 35
151 19575 -0 0 0
127 20700 5151.96 233 179
16 6875 -0 30 23
209 11650 3532.5 132 101
52 14475 -0 65 50
196 22575 -0 19 15
185 9825 -0 33 26
9 14600 -0 38 30
219 30250 -0 16 12
47 30600 -0 18 14
164 21525 561.606 38 30
69 20250 -0 55 43
134 33650 7322.21 25 19
207 16125 -0 371 286
216 25425 -0 39 30
161 20100 -0 95 73
20 172175 -0 69 53
15 16375 -0 12 9
134 33650 1698.94 78 60
116 17600 -0 34 26
213 80775 19783.3 110 85
139 20550 -0 47 36
215 31550 -0 40 31
223 35875 -0 94 72
15 16375 -0 100 77
193 13500 -0 20 16
144 11375 -0 50 38
203 18075 -0 59 46
213 35500 2070 304 234
232 173425 -0 93 71
196 21450 413.131 28 21
183 21175 -0 42 32
177 10375 -0 13 10
54 5100 -0 588 452
110 28550 -0 30 23
24 21950 -0 108 83
47 30600 -0 60 46
57 25075 3708.21 36 28
238 22350 -0 57 44
234 18300 -0 0 0
98 23475 6160.29 57 44
44 35925 -0 65 50
178 16075 -0 20 16
143 23275 -0 28 21
37 25425 2586.7 25 19
38 26675 -0 49 38
36 37050 -0 0 0
217 24400 -0 230 177
124 35325 2627.59 59 45
112 19875 -0 45 34
32 3150 -0 402 309
16 6875 -0 28 21
88 19875 -0 67 52
16 6875 -0 66 51
183 22150 -0 183 141
230 27175 -0 59 45
78 24875 -0 23 18
165 10125 1260.46 118 91
114 8300 -0 61 47
197 14775 -0 28 22
159 25725 -0 50 38
54 5100 -0 0 0
229 215025 -0 310 238
174 218975 -0 76 59
43 11125 -0 20 16
244 8700 -0 23 17
177 15400 -0 23 17
203 18075 -0 49 38
215 30800 -0 204 157
18 11225 -0 117 90
226 227500 -0 127 98
88 19875 -0 51 39
207 16125 -0 33 26
173 6900 -0 242 186
220 9075 -0 119 92
196 22575 -0 30 23
52 14475 -0 194 149
162 6000 1558.04 66 51
72 26525 412.5 101 77
195 25775 1346.61 35 27
7 28400 -0 14 11
185 9825 -0 154 118
184 17225 -0 23 17
23 21175 -0 66 51
200 17600 -0 46 36
189 7700 -0 112 86
155 24325 -0 84 65
116 17600 -0 55 42
137 15275 -0 154 118
184 17225 -0 28 22
210 15375 -0 23 17
56 16875 -0 55 43
162 6000 -0 113 87
111 32300 1764.92 930 715
72 28600 -0 148 113
83 11100 -0 607 467
138 13925 -0 97 75
165 10125 1646.59 38 30
33 14850 -0 20 16
232 160825 -0 19 15
18 11225 -0 23 17
136 19100 -0 33 26
232 173425 -0 518 398
167 28975 -0 40 31
139 20550 -0 90 69
183 22150 -0 70 54
190 28025 -0 57 44
72 27725 -0 43 33
145 7950 -0 243 187
159 27000 2883.84 30 23
110 28550 -0 37 29
215 31550 -0 83 64
121 32175 -0 18 14
81 14225 -0 35 27
229 224700 -0 126 97
49 15875 360 214 165
213 21825 -0 13 10
50 177475 9022.5 41 32
233 24525 -0 78 60
241 13100 -0 20 16
74 153325 6372.05 52 40
125 23500 -0 23 18
138 16600 -0 230 177
44 35925 -0 13 10
243 29700 -0 33 26
21 19475 -0 78 60
237 21425 -0 28 21
5 17175 -0 55 43
52 14475 -0 129 99
18 11225 -0 23 17
243 29100 -0 27 21
157 28250 -0 26 20
162 6000 -0 43 33

Temps: 0.03 seconds
Valeur OPT: 60269.5
