76 220 220 15
29 47 3.62705 0 26
62 48 4.4425 18 20
30 42 4.5443 26 15
15 50 3.91881 11 11
29 35 3.60648 30 10
15 21 2.66501 21 8
15 46 9.90702 19 30
46 44 2.05644 15 3
46 42 1.04787e-05 16 19
51 63 1.04484 29 5
15 51 3.92502 26 21
13 51 5.71286 37 37
51 60 0.814931 16 18
15 18 5.91976 12 22
57 51 5.9896 31 15
-1 0 7.81073 8 29
51 54 5.85336 19 15
67 58 6.21617 20 30
3 72 8.32464 13 27
54 54 2.7978 15 18
15 12 3.9496 22 14
29 42 6.65155 28 22
62 51 3.56808 12 8
63 69 3.99647 6 17
3 65 3.92937 27 20
9 76 7.08727 14 29
4 48 0.00804996 18 27
13 27 3.12428 17 31
29 37 5.43403 29 20
15 16 2.41859 13 13
29 34 3.4927 22 11
10 71 6.36702 25 16
3 63 0.608971 28 6
29 44 4.4779 27 15
46 34 1.89908 19 26
57 42 3.06653 10 16
37 30 3.29914 12 16
20 20 3.74282 14 14
34 60 3.84765 24 22
9 69 0.177023 16 11
29 55 3.98231 33 7
62 71 4.06095 15 10
28 65 5.89254 11 14
1 63 6.17398 18 19
3 57 1.08009e-06 17 33
29 25 5.90636 21 28
15 30 5.93861 27 22
5 30 3.3457 19 19
29 28 6.72845 20 21
15 71 3.91881 5 18
44 76 0.0798854 22 6
15 41 4.92287 12 18
27 38 4.29596 19 17
13 44 3.94345 22 12
13 30 5.89328 16 28
10 97 17.3051 7 28
1 70 4.61975 26 12
15 10 1.77808 14 9
34 63 0.0810621 21 0
14 67 0.715326 24 11
70 27 10.8345 13 37
47 53 3.34228 15 12
15 38 2.54921 18 10
33 53 4.5912 11 19
28 79 12.8122 28 26
10 64 1.07418 9 1
11 61 9.34341 37 25
4 45 4.00618 30 13
30 44 3.41369 10 13
20 38 6.25468 8 16
20 20 5.78363 11 24
60 40 11.0292 3 24
46 59 4.92437 1 27
62 50 3.00678 6 19
5 41 4.93012 10 21
45 44 3.02644 20 12

Temps: 5.84 seconds
Valeur OPT: 29.5375
