30 4500 4500 26
22 93 9.23674 0 125
26 61 2.11378 300 150
4 76 18.2663 3100 3100
26 67 3.61865 125 300
26 58 4.05957 100 450
26 54 12.3779 200 200
29 70 1.43301 150 150
13 113 4.67572 150 950
14 110 15.5041 450 400
12 105 2.59908 300 100
26 80 3.25887 100 300
12 89 8.42132 950 150
10 88 5.93815 125 1500
10 97 6.14917 150 300
26 103 0.0874182 150 150
10 98 0.00150393 550 150
13 105 2.14198 150 100
10 99 4.52735 100 300
0 114 3.64374 150 550
26 92 12.9671 400 100
22 83 2.01711 300 150
22 98 18.2969 1500 500
26 51 4.69461 100 300
18 116 16.1974 300 800
28 70 8.69278 500 1000
29 66 2.44153 800 125
-1 0 0.00315531 300 100
26 39 8.46344 100 0
26 20 4.94635 150 150
26 53 18.1108 1000 100

Temps: 0.00 seconds
Valeur OPT: 15.0222
