Solutions_model_2/btk_031_0_0.dat.sol:Bilan; btk_031_0_0.dat; 1.861; OptimizationStatus.OPTIMAL; 6914.7502110000005
Solutions_model_2/btk_031_0_4.dat.sol:Bilan; btk_031_0_4.dat; 0.033; OptimizationStatus.OPTIMAL; 1159099.0
Solutions_model_2/btk_031_2_0.dat.sol:Bilan; btk_031_2_0.dat; 0.085; OptimizationStatus.OPTIMAL; 10753.62284
Solutions_model_2/btk_031_2_4.dat.sol:Bilan; btk_031_2_4.dat; 0.033; OptimizationStatus.OPTIMAL; 1159099.0
Solutions_model_2/btk_032_0_0.dat.sol:Bilan; btk_032_0_0.dat; 1.675; OptimizationStatus.OPTIMAL; 1362.2244
Solutions_model_2/btk_032_0_4.dat.sol:Bilan; btk_032_0_4.dat; 0.037; OptimizationStatus.OPTIMAL; 4425.0
Solutions_model_2/btk_032_2_0.dat.sol:Bilan; btk_032_2_0.dat; 1.515; OptimizationStatus.OPTIMAL; 823.9984999999988
Solutions_model_2/btk_032_2_4.dat.sol:Bilan; btk_032_2_4.dat; 2.021; OptimizationStatus.OPTIMAL; 0.0
Solutions_model_2/btk_054_0_0.dat.sol:Bilan; btk_054_0_0.dat; 0.04; OptimizationStatus.OPTIMAL; 1550.0
Solutions_model_2/btk_054_0_4.dat.sol:Bilan; btk_054_0_4.dat; 0.033; OptimizationStatus.OPTIMAL; 1475.0
Solutions_model_2/btk_054_2_0.dat.sol:Bilan; btk_054_2_0.dat; 1.493; OptimizationStatus.OPTIMAL; 296.2556289999993
Solutions_model_2/btk_054_2_4.dat.sol:Bilan; btk_054_2_4.dat; 1.59; OptimizationStatus.OPTIMAL; 296.2556289999993
Solutions_model_2/btk_075_0_0.dat.sol:Bilan; btk_075_0_0.dat; 4.399; OptimizationStatus.OPTIMAL; 469.3326999999272
Solutions_model_2/btk_075_0_4.dat.sol:Bilan; btk_075_0_4.dat; 0.058; OptimizationStatus.OPTIMAL; 2450.0
Solutions_model_2/btk_075_2_0.dat.sol:Bilan; btk_075_2_0.dat; 1.639; OptimizationStatus.OPTIMAL; 1592.4714169999997
Solutions_model_2/btk_075_2_4.dat.sol:Bilan; btk_075_2_4.dat; 3.108; OptimizationStatus.OPTIMAL; 682.0547928000015
Solutions_model_2/btk_087_0_0.dat.sol:Bilan; btk_087_0_0.dat; 2.166; OptimizationStatus.OPTIMAL; 13219.134800000007
Solutions_model_2/btk_087_0_4.dat.sol:Bilan; btk_087_0_4.dat; 0.153; OptimizationStatus.OPTIMAL; 6889150.0
Solutions_model_2/btk_087_2_0.dat.sol:Bilan; btk_087_2_0.dat; 3.8; OptimizationStatus.OPTIMAL; 2907.1750799999973
Solutions_model_2/btk_087_2_4.dat.sol:Bilan; btk_087_2_4.dat; 0.157; OptimizationStatus.OPTIMAL; 7524121.0
Solutions_model_2/btk_1-Reichstett_0_0.dat.sol:Bilan; btk_1-Reichstett_0_0.dat; 3.418; OptimizationStatus.OPTIMAL; 84061.32949999999
Solutions_model_2/btk_1-Reichstett_0_4.dat.sol:Bilan; btk_1-Reichstett_0_4.dat; 0.527; OptimizationStatus.OPTIMAL; 37140.79999999999
Solutions_model_2/btk_1-Reichstett_2_0.dat.sol:Bilan; btk_1-Reichstett_2_0.dat; 0.846; OptimizationStatus.OPTIMAL; 60269.42499999999
Solutions_model_2/btk_1-Reichstett_2_4.dat.sol:Bilan; btk_1-Reichstett_2_4.dat; 0.786; OptimizationStatus.OPTIMAL; 60263.29099999998
Solutions_model_2/btk_102_0_0.dat.sol:Bilan; btk_102_0_0.dat; 6.855; OptimizationStatus.OPTIMAL; 41.7364
Solutions_model_2/btk_102_0_4.dat.sol:Bilan; btk_102_0_4.dat; 0.13; OptimizationStatus.OPTIMAL; 2883.33
Solutions_model_2/btk_102_2_0.dat.sol:Bilan; btk_102_2_0.dat; 0.191; OptimizationStatus.OPTIMAL; 3280.832099999998
Solutions_model_2/btk_102_2_4.dat.sol:Bilan; btk_102_2_4.dat; 3.316; OptimizationStatus.OPTIMAL; 714.3223600000001
Solutions_model_2/btk_109_0_0.dat.sol:Bilan; btk_109_0_0.dat; 0.45; OptimizationStatus.OPTIMAL; 1402851.891
Solutions_model_2/btk_109_0_4.dat.sol:Bilan; btk_109_0_4.dat; 0.823; OptimizationStatus.OPTIMAL; 9144622.4
Solutions_model_2/btk_109_2_0.dat.sol:Bilan; btk_109_2_0.dat; 8.172; OptimizationStatus.OPTIMAL; 4110.981000000003
Solutions_model_2/btk_109_2_4.dat.sol:Bilan; btk_109_2_4.dat; 4.764; OptimizationStatus.OPTIMAL; 19733.47427
Solutions_model_2/btk_125_0_0.dat.sol:Bilan; btk_125_0_0.dat; 5.148; OptimizationStatus.OPTIMAL; 4892.966560000001
Solutions_model_2/btk_125_0_4.dat.sol:Bilan; btk_125_0_4.dat; 2.916; OptimizationStatus.OPTIMAL; 13813375.0
Solutions_model_2/btk_125_2_0.dat.sol:Bilan; btk_125_2_0.dat; 3.666; OptimizationStatus.OPTIMAL; 7922.410200000002
Solutions_model_2/btk_125_2_4.dat.sol:Bilan; btk_125_2_4.dat; 4.663; OptimizationStatus.OPTIMAL; 7142.4352
Solutions_model_2/btk_162_0_0.dat.sol:Bilan; btk_162_0_0.dat; 0.861; OptimizationStatus.OPTIMAL; 28420610.0
Solutions_model_2/btk_162_0_4.dat.sol:Bilan; btk_162_0_4.dat; 1.058; OptimizationStatus.OPTIMAL; 30574455.0
Solutions_model_2/btk_162_2_0.dat.sol:Bilan; btk_162_2_0.dat; 6.313; OptimizationStatus.OPTIMAL; 6397.534854599995
Solutions_model_2/btk_162_2_4.dat.sol:Bilan; btk_162_2_4.dat; 6.734; OptimizationStatus.OPTIMAL; 462.108701000001
Solutions_model_2/btk_163_0_0.dat.sol:Bilan; btk_163_0_0.dat; 15.919; OptimizationStatus.OPTIMAL; 3690.7884700000013
Solutions_model_2/btk_163_0_4.dat.sol:Bilan; btk_163_0_4.dat; 0.284; OptimizationStatus.OPTIMAL; 2185.0
Solutions_model_2/btk_163_2_0.dat.sol:Bilan; btk_163_2_0.dat; 10.099; OptimizationStatus.OPTIMAL; 356.54373999999734
Solutions_model_2/btk_163_2_4.dat.sol:Bilan; btk_163_2_4.dat; 10.116; OptimizationStatus.OPTIMAL; 356.54373999999734
Solutions_model_2/btk_171_0_0.dat.sol:Bilan; btk_171_0_0.dat; 0.515; OptimizationStatus.OPTIMAL; 34624415.0
Solutions_model_2/btk_171_0_4.dat.sol:Bilan; btk_171_0_4.dat; 0.584; OptimizationStatus.OPTIMAL; 41389930.0
